LECROYWS3054,16293,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,29-Jul-2023 14:47:41,0                 
Time,Ampl
-1.00025e-007,0.01
-9.9775e-008,0.00666667
-9.9525e-008,0.00666667
-9.9275e-008,0.00666667
-9.9025e-008,0.01
-9.8775e-008,0.00666667
-9.8525e-008,0.00666667
-9.8275e-008,0.00666667
-9.8025e-008,0.01
-9.7775e-008,0.00666667
-9.7525e-008,0.00666667
-9.7275e-008,0.00666667
-9.7025e-008,0.01
-9.6775e-008,0.00666667
-9.6525e-008,0.00666667
-9.6275e-008,0.00666667
-9.6025e-008,0.01
-9.5775e-008,0.00666667
-9.5525e-008,0.00666667
-9.5275e-008,0.00666667
-9.5025e-008,0.01
-9.4775e-008,0.00666667
-9.4525e-008,0.00666667
-9.4275e-008,0.00666667
-9.4025e-008,0.01
-9.3775e-008,0.00666667
-9.3525e-008,0.00666667
-9.3275e-008,0.00666667
-9.3025e-008,0.00666667
-9.2775e-008,0.00666667
-9.2525e-008,0.00666667
-9.2275e-008,0.00666667
-9.2025e-008,0.01
-9.1775e-008,0.00666667
-9.1525e-008,0.00666667
-9.1275e-008,0.00666667
-9.1025e-008,0.01
-9.0775e-008,0.00666667
-9.0525e-008,0.01
-9.0275e-008,0.00666667
-9.0025e-008,0.01
-8.9775e-008,0.00666667
-8.9525e-008,0.01
-8.9275e-008,0.00666667
-8.9025e-008,0.01
-8.8775e-008,0.00666667
-8.8525e-008,0.01
-8.8275e-008,0.00666667
-8.8025e-008,0.01
-8.7775e-008,0.00666667
-8.7525e-008,0.01
-8.7275e-008,0.00666667
-8.7025e-008,0.01
-8.6775e-008,0.00666667
-8.6525e-008,0.00666667
-8.6275e-008,0.00666667
-8.6025e-008,0.01
-8.5775e-008,0.00666667
-8.5525e-008,0.01
-8.5275e-008,0.00666667
-8.5025e-008,0.01
-8.4775e-008,0.00666667
-8.4525e-008,0.01
-8.4275e-008,0.00666667
-8.4025e-008,0.01
-8.3775e-008,0.00666667
